phenotype,ancestry,Gene,gene_name,Chr,Start,End,No.SNPs,SNP_start,SNP_end,TopSNP,TopSNP_Pvalue,No.Eigenvalues,Chisq_mBAT,P_mBATcombo,P_mBAT,Chisq_fastBAT,P_fastBAT,P_mBATcombo_bonferroni
N06A,EUR,ENSG00000140945,CDH13,16,82660570,83834245,7225,rs74676455,rs93131,rs11150494,6.56944e-08,323,448.517,8.0857e-10,4.522e-06,6544.48,4.04321e-10,2.0618535e-07
N06A,EUR,ENSG00000140836,ZFHX3,16,72816784,73925770,3409,rs77518941,rs4888052,rs75805805,6.23912e-07,279,411.901,7.50206e-07,3.75505e-07,2615.87,0.000350522,0.00019130253
N06A,EUR,ENSG00000183715,OPCML,11,132284871,133402396,4065,rs79759469,rs11828595,rs77821142,2.03051e-05,274,377.632,7.27492e-07,3.24256e-05,3024.09,3.67872e-07,0.00018551046
N06A,EUR,ENSG00000144642,RBMS3,3,28616282,30051882,5497,rs3816573,rs11129382,rs2198972,9.2755e-06,228,362.984,6.19661e-08,3.12559e-08,3220.24,3.54999e-06,1.58013555e-05
N06A,EUR,ENSG00000145934,TENM2,5,166406034,167691162,3357,rs12517402,rs34509932,rs2244456,2.40785e-07,249,337.27,4.25408e-07,0.000162195,2792.23,2.12983e-07,0.00010847904
N06A,EUR,ENSG00000283563,ENSG00000283563,3,28390669,29809028,5071,rs34914936,rs143879571,rs2198972,9.2755e-06,206,327.556,2.69133e-07,1.43235e-07,3052.1,2.2235e-06,6.8628915e-05
N06A,EUR,ENSG00000285708,ENSG00000285708,3,71008377,71803380,1975,rs17007999,rs11710834,rs62246015,4.45218e-07,179,263.299,5.34368e-07,4.14998e-05,2051.45,2.68915e-07,0.00013626384
N06A,EUR,ENSG00000183098,GPC6,13,93879060,95060274,3528,rs9589682,rs77377991,rs141818334,4.09178e-06,171,261.129,4.74868e-07,1.08764e-05,2414.07,2.42733e-07,0.00012109134
N06A,EUR,ENSG00000185053,SGCZ,8,13942354,15095940,6902,rs4831265,rs7814095,rs2255802,5.40994e-08,152,225.148,1.53101e-08,0.00010708,5293.27,7.65558e-09,3.9040755e-06
N06A,EUR,ENSG00000196782,MAML3,4,140637907,141075338,1327,rs1000222,rs113262863,rs17314804,1.03224e-11,128,216.21,5.94955e-09,1.7913e-06,1798.34,2.97972e-09,1.51713525e-06
N06A,EUR,ENSG00000148219,ASTN2,9,119185391,120177348,3239,rs12339056,rs10983663,rs35623509,4.80062e-06,135,214.363,1.10056e-08,1.62889e-05,2970.99,5.50468e-09,2.806428e-06
N06A,EUR,ENSG00000187323,DCC,18,49866567,51062273,4868,rs8097353,rs72920298,rs12965339,1.95133e-12,92,204.892,1.18804e-11,1.40737e-10,4972.91,6.20195e-12,3.029502e-09
N06A,EUR,ENSG00000149294,NCAM1,11,112831969,113149158,1171,rs4937833,rs10502172,rs12576197,8.06128e-12,65,203.063,6.59087e-16,4.03743e-16,1542.85,3.79408e-15,1.68067185e-13
N06A,EUR,ENSG00000091831,ESR1,6,151977826,152450754,1893,rs12210307,rs12203474,rs4305732,4.26072e-12,96,192.139,2.55448e-11,2.13968e-08,2040.53,1.27801e-11,6.513924e-09
N06A,EUR,ENSG00000101489,CELF4,18,34823003,35145790,1056,rs138949430,rs6507215,rs28707185,4.60529e-08,93,190.688,4.65242e-10,1.03942e-08,1582.78,2.37946e-10,1.1863671e-07
N06A,EUR,ENSG00000136928,GABBR2,9,101050391,101471217,1941,rs10818648,rs422531,rs1435252,1.47296e-06,94,182.834,2.18166e-07,1.14746e-07,1518.68,2.21012e-06,5.563233e-05
N06A,EUR,ENSG00000145147,SLIT2,4,20253528,20622184,1242,rs571400,rs148827733,rs10938795,4.72481e-08,97,181.28,1.46357e-07,4.66131e-07,1274.41,8.68065e-08,3.7321035e-05
N06A,EUR,ENSG00000155052,CNTNAP5,2,124782864,125678796,2961,rs17010681,rs58560012,rs779995,4.56887e-06,97,180.482,6.91336e-07,5.65832e-07,2064.59,8.88382e-07,0.00017629068
N06A,EUR,ENSG00000157890,MEGF11,15,66187417,66546094,1444,rs28478639,rs1546571,rs6494553,1.45948e-08,92,178.466,4.90639e-10,1.73001e-07,2029.07,2.45668e-10,1.25112945e-07
N06A,EUR,ENSG00000006704,GTF2IRD1,7,73868120,74016931,505,rs2240436,rs62475394,rs4717142,3.93881e-06,64,153.978,4.42769e-09,2.2194e-09,682.679,8.85607e-07,1.12906095e-06
N06A,EUR,ENSG00000196092,PAX5,9,36833266,37034265,1021,rs10122442,rs10973198,rs1329571,3.93065e-08,78,138.081,1.19032e-08,3.27921e-05,1431.35,5.95266e-09,3.035316e-06
N06A,EUR,ENSG00000196132,MYT1,20,62733747,62873606,614,rs78706089,rs73626487,rs351880,2.62799e-05,62,130.695,1.59447e-06,8.14066e-07,816.085,3.85625e-05,0.00040658985
N06A,EUR,ENSG00000149292,TTC12,11,113185301,113254266,434,rs625741,rs77560271,rs61903989,1.33901e-11,36,125.894,1.34077e-11,6.72133e-12,778.117,2.57078e-09,3.4189635e-09
N06A,EUR,ENSG00000184588,PDE4B,1,66258197,66840262,1810,rs10789199,rs28767231,rs11208787,4.87994e-07,63,125.216,5.56245e-07,5.22264e-06,1333.78,2.93766e-07,0.000141842475
N06A,EUR,ENSG00000157927,RADIL,7,4836686,4923347,782,rs80101966,rs2965043,rs62451399,0.000188714,55,121.028,1.44866e-06,7.24737e-07,654.101,0.00129653,0.0003694083
N06A,EUR,ENSG00000196353,CPNE4,3,131252399,132004254,3224,rs2171189,rs310001,rs34468208,5.25438e-08,75,118.561,5.04617e-07,0.00100773,2127.31,2.52372e-07,0.000128677335
N06A,EUR,ENSG00000178342,KCNG2,18,77557938,77660184,596,rs3933772,rs12968195,rs7236339,2.56879e-10,55,117.936,2.24702e-06,1.74569e-06,825.72,3.15233e-06,0.0005729901
N06A,EUR,ENSG00000107105,ELAVL2,9,23690102,23826335,681,rs1329908,rs12339656,rs10966033,3.30546e-06,60,110.116,1.22319e-06,8.60684e-05,940.162,6.15973e-07,0.00031191345
N06A,EUR,ENSG00000154822,PLCL2,3,16844159,17132096,1132,rs6442632,rs73029164,rs35992988,7.11087e-10,43,107.397,3.89241e-07,1.99572e-07,1115.25,7.84381e-06,9.9256455e-05
N06A,EUR,ENSG00000285082,ENSG00000285082,9,120466435,120834592,1548,rs73655822,rs2769188,rs10123941,1.8175e-09,39,103.456,1.65306e-07,9.58306e-08,1196.22,6.01081e-07,4.215303e-05
N06A,EUR,ENSG00000011198,ABHD5,3,43731600,43775863,362,rs7614885,rs11717087,rs530758485,3.0781e-10,27,102.341,2.11769e-10,1.05884e-10,370.631,3.76126e-05,5.4001095e-08
N06A,EUR,ENSG00000198218,QRICH1,3,49067140,49131796,152,rs11716614,rs112649351,rs34759087,1.49862e-06,26,102.074,4.28925e-11,5.78679e-11,267.149,3.40745e-11,1.09375875e-08
N06A,EUR,ENSG00000178537,SLC25A20,3,48894359,48936337,146,rs9311430,rs80245267,rs9311434,0.000115033,27,102.06,2.32339e-10,1.17812e-10,216.15,8.3324e-09,5.9246445e-08
N06A,EUR,ENSG00000177479,ARIH2,3,48956254,49023815,176,rs4974079,rs116185530,rs73082331,1.44837e-06,24,100.351,5.13134e-11,2.61695e-11,267.411,1.30939e-09,1.3084917e-08
N06A,EUR,ENSG00000163788,SNRK,3,43328004,43466256,392,rs73088738,rs79578837,rs76887862,9.0511e-11,31,98.5707,1.05767e-08,5.77736e-09,542.649,6.24764e-08,2.6970585e-06
N06A,EUR,ENSG00000074410,CA12,15,63613577,63674045,414,rs148390777,rs289804,rs140246270,1.45208e-05,40,98.4845,1.5425e-06,7.71397e-07,435.606,0.00400446,0.0003933375
N06A,EUR,ENSG00000102837,OLFM4,13,53602948,53626192,373,rs6561698,rs4274331,rs1419216,1.49131e-06,32,97.961,2.60676e-08,1.30465e-08,489.757,1.33852e-05,6.647238e-06
N06A,EUR,ENSG00000172037,LAMB2,3,49158547,49170551,139,rs141767461,rs137920315,rs4955418,3.03303e-07,23,97.1849,7.15452e-11,4.29346e-11,322.378,2.14447e-10,1.8244026e-08
N06A,EUR,ENSG00000072110,ACTN1,14,69340845,69446157,749,rs75260385,rs10144812,rs440712,1.80145e-09,39,97.1241,9.51893e-07,7.30588e-07,1052.27,1.36553e-06,0.000242732715
N06A,EUR,ENSG00000163808,KIF15,3,44803213,44914868,328,rs954282,rs1979946,rs1506659,3.46314e-09,34,97.1133,9.02039e-08,5.48386e-08,540.425,2.54021e-07,2.30019945e-05
N06A,EUR,ENSG00000171634,BPTF,17,65821619,65980494,459,rs4791127,rs8076757,rs59956089,3.28749e-14,30,96.8241,7.65284e-15,5.85278e-09,1721.74,3.82388e-15,1.9514742e-12
N06A,EUR,ENSG00000170209,ANKK1,11,113258501,113271138,283,rs60373142,rs78303686,rs61903989,1.33901e-11,23,95.7791,1.4925e-10,7.46931e-11,520.744,8.15036e-08,3.805875e-08
N06A,EUR,ENSG00000149295,DRD2,11,113280327,113346413,450,rs2276070,rs2514225,rs1800499,4.65133e-10,26,93.6771,2.76734e-09,1.41171e-09,600.015,6.9658e-08,7.056717e-07
N06A,EUR,ENSG00000286192,ENSG00000286192,7,1855440,2281850,2223,rs56404040,rs4721548,rs55988458,1.08509e-07,51,93.5066,3.13866e-07,0.000263351,2658.94,1.57027e-07,8.003583e-05
N06A,EUR,ENSG00000130935,NOL11,17,65714047,65740647,321,rs11871834,rs10744997,rs6504535,7.62263e-10,34,93.3199,1.03474e-07,1.96786e-07,607.961,7.01911e-08,2.638587e-05
N06A,EUR,ENSG00000100626,GALNT16,14,69725994,69823750,577,rs7144704,rs10142738,rs4243633,1.14481e-09,44,93.0903,3.31269e-08,2.24426e-05,1133.46,1.65757e-08,8.4473595e-06
N06A,EUR,ENSG00000002822,MAD1L1,7,1855429,2272878,2201,rs56404040,rs112282546,rs55988458,1.08509e-07,50,93.0325,4.76851e-07,0.000211737,2553.26,2.38694e-07,0.000121597005
N06A,EUR,ENSG00000172046,USP19,3,49145479,49158371,123,rs9841640,rs9814987,rs4955418,3.03303e-07,23,91.6682,3.85736e-10,3.72441e-10,264.331,4.00015e-10,9.836268e-08
N06A,EUR,ENSG00000008300,CELSR3,3,48673896,48700319,152,rs2255532,rs6788650,rs73078367,8.31616e-10,25,91.6193,3.10612e-09,1.55422e-09,273.998,2.08932e-06,7.920606e-07
N06A,EUR,ENSG00000160746,ANO10,3,43396351,43733086,800,rs11715609,rs6441792,rs56403804,1.11449e-10,29,91.567,4.13486e-08,2.08518e-08,753.723,2.42876e-06,1.0543893e-05
N06A,EUR,ENSG00000196628,TCF4,18,52889416,53332018,959,rs62092385,rs185302135,rs12967143,5.07547e-08,48,91.0437,1.24007e-08,0.000176034,1520.68,6.20056e-09,3.1621785e-06
N06A,EUR,ENSG00000068745,IP6K2,3,48725436,48777786,176,rs114899327,rs137997194,rs73078367,8.31616e-10,24,90.6563,2.21459e-09,1.12225e-09,346.399,8.30903e-08,5.6472045e-07
N06A,EUR,ENSG00000173769,TOPAZ1,3,44283378,44373590,391,rs1565208,rs114147259,rs1873048,7.91857e-08,20,90.2758,1.28975e-10,6.63355e-11,443.635,2.31475e-09,3.2888625e-08
N06A,EUR,ENSG00000179152,TCAIM,3,44379611,44450943,317,rs4682963,rs192951498,rs2372688,1.70274e-09,25,89.8779,3.08014e-09,2.99529e-09,388.152,3.16994e-09,7.854357e-07
N06A,EUR,ENSG00000172053,QARS1,3,49133365,49142563,113,rs73082357,rs114760875,rs34759087,1.49862e-06,23,89.6355,7.62924e-10,8.18348e-10,208.869,7.1453e-10,1.9454562e-07
N06A,EUR,ENSG00000114268,PFKFB4,3,48555117,48599448,169,rs6442124,rs35186333,rs11710798,1.47124e-07,28,88.6967,6.32696e-08,3.16431e-08,253.625,0.000120333,1.6133748e-05
N06A,EUR,ENSG00000160551,TAOK1,17,27717381,27878921,465,rs8078951,rs35184780,rs7212351,0.000141275,33,87.8435,1.40865e-06,7.12728e-07,346.348,5.97335e-05,0.00035920575
N06A,EUR,ENSG00000114302,PRKAR2A,3,48782030,48885307,202,rs11557629,rs62259533,rs6791542,9.37079e-05,25,87.5952,1.36647e-08,7.03513e-09,266.231,2.37046e-07,3.4844985e-06
N06A,EUR,ENSG00000164076,CAMKV,3,49895421,49907368,139,rs2234385,rs11709573,rs7649428,6.48261e-07,17,87.4008,3.61459e-11,1.80734e-11,272.439,7.12612e-07,9.2172045e-09
N06A,EUR,ENSG00000145040,UCN2,3,48599151,48601214,115,rs148603667,rs1264191,rs11710798,1.47124e-07,27,86.4527,7.6588e-08,3.83478e-08,220.535,2.72731e-05,1.952994e-05
N06A,EUR,ENSG00000169964,TMEM42,3,44903396,44907162,196,rs3762636,rs6622,rs1506659,3.46314e-09,26,85.4564,5.55143e-08,2.94943e-08,418.382,4.71274e-07,1.41561465e-05
N06A,EUR,ENSG00000114270,COL7A1,3,48601506,48632762,144,rs62261465,rs34638686,rs11710798,1.47124e-07,30,84.4911,8.64229e-07,4.37989e-07,228.034,3.22179e-05,0.000220378395
N06A,EUR,ENSG00000177352,CCDC71,3,49199968,49203764,132,rs4364202,rs6446257,rs12637576,2.91056e-07,20,84.1864,4.59181e-10,7.559e-10,286.582,3.29744e-10,1.17091155e-07
N06A,EUR,ENSG00000114353,GNAI2,3,50263724,50296794,154,rs140750015,rs148506936,rs9839427,1.39029e-06,26,84.1402,8.93817e-08,4.75444e-08,281.35,7.44607e-07,2.27923335e-05
N06A,EUR,ENSG00000186448,ZNF197,3,44626380,44689963,261,rs13100967,rs13097653,rs28851549,2.45164e-09,21,83.7049,2.97605e-10,1.92258e-09,405.016,1.61286e-10,7.5889275e-08
N06A,EUR,ENSG00000187492,CDHR4,3,49828165,49837306,150,rs13086130,rs145820576,rs7621797,1.5861e-07,18,82.9757,5.12864e-10,2.57069e-10,196.854,1.0346e-07,1.3078032e-07
N06A,EUR,ENSG00000153208,MERTK,2,112656184,112787138,766,rs6704920,rs72829643,rs10864891,3.73397e-06,26,81.7739,2.2191e-07,1.11406e-07,544.583,2.7432e-05,5.658705e-05
N06A,EUR,ENSG00000156395,SORCS3,10,106401048,107025000,2139,rs4918115,rs7906336,rs17185757,2.17845e-08,43,81.746,8.48848e-08,0.000333676,1736.39,4.24478e-08,2.1645624e-05
N06A,EUR,ENSG00000041353,RAB27B,18,52385091,52562747,811,rs180796701,rs117998373,rs12457761,2.31618e-10,34,81.7444,2.11035e-06,8.26916e-06,747.515,1.20952e-06,0.00053813925
N06A,EUR,ENSG00000144792,ZNF660,3,44619715,44641186,218,rs9809306,rs1868603,rs9868960,2.30718e-09,18,81.5507,8.65751e-11,4.58133e-10,380.98,4.78045e-11,2.20766505e-08
N06A,EUR,ENSG00000147905,ZCCHC7,9,37120571,37358146,627,rs11792107,rs182543,rs308499,2.66744e-09,35,81.3731,2.75383e-09,1.47393e-05,946.623,1.37704e-09,7.0222665e-07
N06A,EUR,ENSG00000185909,KLHDC8B,3,49209031,49213919,133,rs116836607,rs2117938,rs12637576,2.91056e-07,19,80.8582,7.46272e-10,1.32222e-09,279.441,5.19836e-10,1.9029936e-07
N06A,EUR,ENSG00000178467,P4HTM,3,49027322,49044586,107,rs7647093,rs6798112,rs73082331,1.44837e-06,18,80.7278,4.62638e-10,6.38944e-10,200.566,3.62588e-10,1.1797269e-07
N06A,EUR,ENSG00000185219,ZNF445,3,44473197,44519162,217,rs112669897,rs13072696,rs71092308,5.30768e-10,24,80.7032,4.02071e-10,4.69887e-08,425.037,2.01899e-10,1.02528105e-07
N06A,EUR,ENSG00000182481,KPNA2,17,66031752,66043480,239,rs117620286,rs140318838,rs56305452,2.64104e-12,22,80.6136,4.2922e-12,1.28381e-08,907.262,2.14643e-12,1.094511e-09
N06A,EUR,ENSG00000204472,AIF1,6,31582994,31584798,338,rs2857602,rs71563362,rs3135044,6.38088e-11,23,80.3099,6.2143e-11,2.82853e-08,821.136,3.11057e-11,1.5846465e-08
N06A,EUR,ENSG00000183763,TRAIP,3,49866034,49894007,169,rs9829155,rs77567985,rs7637711,2.53017e-07,18,80.2945,1.51935e-09,7.61023e-10,314.302,4.28368e-07,3.8743425e-07
N06A,EUR,ENSG00000163795,ZNF513,2,27600102,27603657,128,rs1049817,rs187972942,rs148029292,4.97897e-05,24,80.1871,1.13604e-07,5.68039e-08,157.801,0.00151175,2.896902e-05
N06A,EUR,ENSG00000204475,NCR3,6,31556672,31560783,398,rs2071596,rs1052486,rs3135044,6.38088e-11,23,79.9912,9.3741e-10,3.18558e-08,825.086,4.75704e-10,2.3903955e-07
N06A,EUR,ENSG00000204463,BAG6,6,31606805,31620482,338,rs3179004,rs114276434,rs3135044,6.38088e-11,22,79.928,1.04462e-12,1.66502e-08,789.905,5.22295e-13,2.663781e-10
N06A,EUR,ENSG00000227507,LTB,6,31548302,31550299,396,rs3093978,rs41273264,rs3135044,6.38088e-11,23,79.8101,2.10551e-08,3.40801e-08,685.849,1.52331e-08,5.3690505e-06
N06A,EUR,ENSG00000204482,LST1,6,31553901,31556686,403,rs2075580,rs2077537,rs3135044,6.38088e-11,23,79.8061,2.61696e-09,3.41309e-08,786.14,1.36065e-09,6.673248e-07
N06A,EUR,ENSG00000289282,ENSG00000289282,6,31591651,31593276,330,rs3093547,rs805271,rs3135044,6.38088e-11,24,79.7406,5.42583e-12,6.69137e-08,830.848,2.71297e-12,1.38358665e-09
N06A,EUR,ENSG00000204469,PRRC2A,6,31588492,31605548,366,rs915654,rs10573,rs3135044,6.38088e-11,23,79.639,3.4132e-11,3.63229e-08,850.489,1.7074e-11,8.70366e-09
N06A,EUR,ENSG00000173402,DAG1,3,49506136,49573051,237,rs116192290,rs139928512,rs11130207,9.86234e-08,21,79.5017,5.2469e-09,9.78009e-09,288.72,3.58514e-09,1.3379595e-06
N06A,EUR,ENSG00000115234,SNX17,2,27593363,27600402,128,rs140926744,rs1728911,rs148029292,4.97897e-05,25,79.4325,2.79976e-07,1.40001e-07,162.001,0.00146296,7.139388e-05
N06A,EUR,ENSG00000178917,ZNF852,3,44536339,44552128,180,rs149845602,rs9810216,rs71092308,5.30768e-10,20,79.0457,2.04607e-10,5.69745e-09,339.713,1.04174e-10,5.2174785e-08
N06A,EUR,ENSG00000182179,UBA7,3,49842642,49851386,151,rs143042526,rs11130222,rs7621797,1.5861e-07,19,78.3116,6.97182e-09,3.62803e-09,270.914,8.8988e-08,1.7778141e-06
N06A,EUR,ENSG00000225697,SLC26A6,3,48663156,48672926,113,rs9881877,rs140425279,rs73078367,8.31616e-10,26,77.797,8.92906e-07,4.56201e-07,194.109,2.08931e-05,0.00022769103
N06A,EUR,ENSG00000196653,ZNF502,3,44754135,44765323,143,rs187931696,rs74778405,rs6795322,1.87256e-09,24,77.5906,1.55676e-07,1.4656e-07,272.364,1.66001e-07,3.969738e-05
N06A,EUR,ENSG00000196345,ZKSCAN7,3,44596685,44635665,232,rs12489887,rs1608006,rs71092308,5.30768e-10,17,77.5464,1.80796e-11,1.0425e-09,432.54,9.11885e-12,4.610298e-09
